AMB_TEMP,CH4,CO,NMHC,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,THC,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR,timestamp
14,1.8,0.51,0.2,0.9,16,17,16,56,26,0,77,1.8,2,37,35,1.4,0.5,1388505600
14,1.8,0.41,0.15,0.6,9.2,9.8,30,50,39,0,68,2,2,80,79,1.8,0.9,1388509200
14,1.8,0.39,0.13,0.5,8.2,8.7,27,48,36,0,67,1.7,2,57,2.4,1,0.6,1388512800
13,1.8,0.37,0.12,1.7,6.9,8.6,23,35,35,0,74,1.6,1.9,76,55,0.6,0.3,1388516400
12,1.8,0.35,0.11,1.8,6.8,8.5,24,25,31,0,72,1.9,1.9,110,94,1.7,0.6,1388520000
12,1.8,0.3,0.06,1.5,3.8,5.3,28,12,28,0,73,1.4,1.8,106,116,2.5,1.9,1388523600
12,1.8,0.37,0.1,1.9,6.9,8.8,24,4,25,0,74,1.5,1.9,101,106,2.5,2,1388527200
12,1.8,0.47,0.13,2.2,7.8,9.9,22,2,20,0,73,1.6,1.9,104,94,2,2,1388530800
15,1.8,0.78,0.26,6.6,15,22,21,11,19,0,66,5.1,2.1,124,232,0.6,0.5,1388534400
17,1.8,0.74,0.23,7.9,21,29,29,38,30,0,56,15,2,46,153,0.8,0.3,1388538000
20,1.8,0.59,0.2,4.2,14,18,44,56,41,0,45,4.5,2,241,283,1.6,0.8,1388541600
22,1.8,0.52,0.18,2.9,11,14,58,64,44,0,37,2.7,2,280,269,1.9,1.2,1388545200
22,1.8,0.41,0.12,3.4,14,17,50,56,33,0,40,3.5,1.9,297,290,2.1,2,1388548800
22,1.8,0.4,0.11,3,12,15,57,57,37,0,42,3.6,1.9,305,316,3.3,2.6,1388552400
22,1.8,0.37,0.1,2.5,11,14,65,52,36,0,47,3.9,1.9,307,313,2.5,2.1,1388556000
22,1.8,0.37,0.13,2.2,11,13,64,51,45,0,49,4.4,1.9,304,305,2.2,2.1,1388559600
21,1.8,0.47,0.14,2.5,22,25,51,66,42,0,56,9.9,1.9,307,291,1.4,1.9,1388563200
19,1.8,0.69,0.23,2.3,28,30,34,85,49,0,67,5.1,2.1,124,124,2.2,1,1388566800
17,1.8,0.56,0.18,2.1,19,21,33,85,45,0,72,3.4,2,118,119,2.8,2.5,1388570400
16,1.8,0.45,0.12,1.9,12,13,34,63,44,0,69,2.3,1.9,121,118,3,2.5,1388574000
15,1.8,0.38,0.1,1.5,8.1,9.7,37,46,41,0,70,2,1.9,113,114,2.6,2.8,1388577600
15,1.8,0.35,0.09,1.6,7,8.6,38,36,30,0,70,1.9,1.9,112,108,2.7,2.6,1388581200
15,1.8,0.36,0.1,1.8,6.9,8.7,38,42,24,0,70,1.9,1.9,106,102,2.1,2.4,1388584800
15,1.8,0.32,0.08,1.5,6,7.5,36,42,13,0,69,1.9,1.9,110,111,2.1,2.3,1388588400
16,1.8,0.26,0.06,1.4,3.7,5,39,49,21,0,65,1.8,1.8,111,108,2.4,2.5,1388592000
15,1.8,0.25,0.05,1.1,3.2,4.3,38,34,23,0,66,0.8,1.8,117,113,2.7,2.4,1388595600
15,1.8,0.28,0.06,1.3,3.3,4.7,39,31,30,0,70,0.9,1.8,113,115,2.9,2.8,1388599200
14,1.8,0.27,0.05,1,3.1,4.1,39,16,30,0,71,0.8,1.8,110,102,2.3,2.7,1388602800
14,1.8,0.24,0.05,1.2,3.1,4.3,34,18,22,0,70,0.8,1.8,100,87,1.5,2,1388606400
15,1.8,0.26,0.07,1.1,4.3,5.5,31,8,18,0,67,0.7,1.8,64,79,1,0.5,1388610000
16,1.8,0.34,0.09,1.6,9.4,11,30,16,13,0,59,0.8,1.8,80,252,0.8,0.8,1388613600
16,1.8,0.56,0.19,8.4,19,27,18,24,13,0,60,1.2,2,88,90,4,1.5,1388617200
17,1.8,0.79,0.31,17,26,43,17,37,11,0,55,3.3,2.1,50,216,1,0.7,1388620800
20,1.8,1.05,0.5,17,36,53,24,58,22,0,50,8.3,2.3,326,317,0.6,0.2,1388624400
22,1.7,0.3,0.13,2.2,8.4,11,46,51,25,0,40,1.9,1.9,339,312,1.5,0.7,1388628000
23,1.8,0.37,0.18,4.8,17,22,45,63,34,0,43,4.9,2,314,315,2,1.2,1388631600
24,1.8,0.43,0.16,5.3,24,29,46,60,38,0,49,8.3,2,305,299,2.9,2.6,1388635200
24,1.8,0.42,0.15,3.5,18,21,58,75,50,0,53,4.1,2,283,283,2.5,2.2,1388638800
24,1.8,0.34,0.12,2.3,12,14,62,71,53,0,47,2.8,1.9,290,283,1.9,1.6,1388642400
24,1.8,0.35,0.16,2.4,16,18,58,66,43,0,48,4.1,1.9,305,311,2.5,2.2,1388646000
23,1.8,0.38,0.23,2.4,18,20,55,69,43,0,53,4.6,2,352,35,1.1,0.5,1388649600
21,1.8,0.61,0.32,3.5,25,28,33,65,45,0,62,3,2.1,116,117,1.7,1.6,1388653200
20,1.8,0.44,0.18,1.5,15,16,40,61,46,0,65,2.4,2,111,102,2.3,2,1388656800
19,1.8,0.4,0.15,1.4,12,13,38,64,32,0,66,1.8,1.9,117,125,2.3,2.3,1388660400
18,1.8,0.4,0.23,1.5,13,14,32,62,16,0,69,1.5,2,107,125,2,1.7,1388664000
18,1.8,0.55,0.29,1.5,21,22,20,57,19,0,71,1.9,2.1,74,90,1.4,0.6,1388667600
18,1.8,0.41,0.17,1.5,15,17,25,49,22,0,71,2.9,2,117,120,2.3,1.8,1388671200
18,1.8,0.33,0.12,1.7,9.1,11,35,42,26,0,71,1.8,1.9,117,124,2.4,2.2,1388674800
18,1.8,0.32,0.12,1.2,8,9.2,34,38,19,0,72,1.7,1.9,117,111,1.5,1.7,1388678400
18,1.8,0.35,0.18,1.3,9.7,11,28,27,25,0,73,2.8,2,106,71,1.6,1.2,1388682000
18,1.8,0.37,0.15,1.2,10,11,30,31,27,0,73,2.7,1.9,91,122,1.2,1.2,1388685600
18,1.8,0.31,0.13,0.9,7.2,8.1,33,33,20,0,76,2.8,1.9,115,145,1.6,1.2,1388689200
18,1.8,0.29,0.16,0.9,7.4,8.3,30,30,16,0,76,2.3,1.9,93,116,1.3,1.2,1388692800
18,1.7,0.27,0.07,0.8,6.2,7,34,19,14,0,76,2,1.8,115,110,2.8,2,1388696400
18,1.7,0.3,0.07,1.1,7.7,8.8,33,12,15,1.2,84,1.6,1.8,101,77,1.4,1.3,1388700000
19,1.7,0.51,0.15,5.7,18,24,15,10,8,1.6,90,3.2,1.9,98,89,1.3,1,1388703600
19,1.8,0.89,0.44,22,24,46,5.2,12,4,0.8,91,2.3,2.2,53,69,0.6,0.4,1388707200
20,1.8,0.81,0.61,26,27,53,8.7,15,9,0,89,6.6,2.4,278,66,1.1,0.4,1388710800
22,1.7,0.44,0.32,7.8,19,27,25,36,16,0,77,4.2,2.1,308,303,2,0.9,1388714400
23,1.7,0.33,0.16,4.6,15,20,43,43,22,0,65,6,1.9,298,301,2.2,1.9,1388718000
24,1.8,0.31,0.09,2.5,10,13,56,43,23,0,57,3.6,1.8,304,303,3.1,2.4,1388721600
24,1.7,0.29,0.1,1.9,9.2,11,57,33,29,0,54,4.1,1.8,298,289,1.9,1.7,1388725200
